max_demand_kW,reactive_usage_kWh_kVarh_inductive,reactive_usage_kWh_kVarh_capacitive,CO2_tCO2,usage_kWh_factor_inductive,usage_kWh_factor_capacitive,usage_kWh
-0.19176534705895965,-0.6983509302172047,0.0,0.0,1.0070177504145394,0.0,-0.3406854460309495
-0.12561598740447466,-0.5370363785801682,0.0,0.0,0.8153255413309052,0.0,-0.2789904944807344
-0.16914882679402835,-0.4937076676413079,0.0,0.0,0.662002023502743,0.0,-0.3197638025718705
0.1298467698835995,-0.13060693564285564,0.0,0.0,0.47473007102170917,0.0,-0.0270037474765702
0.9279804348607061,0.8294827714086159,0.0,0.0,0.5096825350162595,0.0,0.8742550323426516
1.1411789650891457,0.8390271227303235,0.0,0.0,0.8171453760046222,0.0,1.1365383935093245
1.2208322467822181,1.2570144285767204,0.0,0.0,0.5134527310298787,0.0,1.2362158106963685
1.031435112575354,1.0529139398798,0.0,0.0,0.41107595989377876,0.0,1.0006595122226165
1.4357370470140531,1.4253033718041532,0.0,0.0,0.6842045248510872,0.0,1.5090461704542686
1.6577751500539952,1.5348887510368086,0.0,0.0,0.8733711172729128,0.0,1.7959932563809644
1.5786312907017923,1.614028377154353,0.0,0.0,0.7174017501341523,0.0,1.693190909780021
1.2185912283670985,1.4186242713977943,0.0,0.0,0.29974861160647365,0.0,1.2333999815501564
1.5933056481045875,1.5596470520607804,0.0,0.0,0.7815893311358977,0.0,1.712210500981521
1.3872681859675478,1.4713134395970935,0.0,0.0,0.5623162722597538,0.0,1.4470541896631244
1.240744362852088,0.9405178258183056,0.0,0.0,0.8489306404576417,0.0,1.2612634708646062
0.9738409592350715,0.39369401096753864,0.0,0.0,0.985629852662303,0.0,0.9300766002349914
0.9466174061715674,0.8294827714086159,0.0,0.0,0.5426161462636554,0.0,0.8968981763545971
1.0258452215601372,1.1968654199745945,0.0,0.0,0.18599057609370442,0.0,0.9937862765418382
0.7585701242315952,1.0019904167844234,0.0,0.0,-0.19927113065757324,0.0,0.6712265071524288
0.7959423562158447,0.9315456183699866,0.0,0.0,0.051850274411863226,0.0,0.7155625833768701
0.9738409592350715,1.1737306694020189,0.0,0.0,0.09250918540873411,0.0,0.9300766002349914
1.3964512087719831,1.4186242713977943,0.0,0.0,0.6323097289070041,0.0,1.4587799782329933
1.4409585877643118,1.619961342105197,0.0,0.0,0.4917516206525835,0.0,1.5157393765530933
